category,file,timestamp_local,keyword,context
LOG/SYSTEM,Analytics-2025-06-02-072604.ips.ca.synced,,DroopCount,"ily"",""deviceId"":""811eef0aeb32477416660a8cd7eaf41229442ea5"",""message"":{""Count"":3,""last_value_count_number"":null},""name"":""DroopCount"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""7279f076-11ec-47fc-ae4f-e20de68bfc73_5""} {""aggregationPeriod"""
LOG/SYSTEM,Analytics-2025-06-02-072604.ips.ca.synced,,DroopCount,"aily"",""deviceId"":""811eef0aeb32477416660a8cd7eaf41229442ea5"",""message"":{""Count"":3,""last_value_droop_count"":null},""name"":""DroopCountv2"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""b1c1445f-f42d-4375-9d2e-c87328e73df5_3""} {""aggregationPerio"
LOG/SYSTEM,Analytics-2025-06-02-072604.ips.ca.synced,,DroopCount,""":""Daily"",""deviceId"":""811eef0aeb32477416660a8cd7eaf41229442ea5"",""message"":{""Count"":3,""sum_of_droop_count"":null},""name"":""DroopCountv3"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""b1f6c722-3abb-444d-9994-237291a34259_3""} {""aggregationPerio"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,2025-06-01T07:55:00+07:00,"""bug_type"":""211","version"":""2.4""} {""aggregationPeriod"":""Daily"",""deviceId"":""ef9f0ab7c57b07a7f81e74559db242091fc866d0"",""message"":{""Count"":1,""bug_type"":""211"",""error"":null,""saved"":1},""name"":""LogWritingUsage"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""04df0e6"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""211","{""bug_type"":""211"",""timestamp"":""2025-06-02 07:25:00.00 +0700"",""os_version"":""iPhone OS 18.4.1 (22E252)"",""roots_installed"":0"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""313","b58099e5c15_4""} {""aggregationPeriod"":""Daily"",""deviceId"":""ef9f0ab7c57b07a7f81e74559db242091fc866d0"",""message"":{""Count"":1,""bug_type"":""313"",""error"":null,""saved"":1},""name"":""LogWritingUsage"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""04df0e6"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""225","b58099e5c15_4""} {""aggregationPeriod"":""Daily"",""deviceId"":""ef9f0ab7c57b07a7f81e74559db242091fc866d0"",""message"":{""Count"":1,""bug_type"":""225"",""error"":null,""saved"":1},""name"":""LogWritingUsage"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""04df0e6"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""298","b58099e5c15_4""} {""aggregationPeriod"":""Daily"",""deviceId"":""ef9f0ab7c57b07a7f81e74559db242091fc866d0"",""message"":{""Count"":1,""bug_type"":""298"",""error"":null,""saved"":1},""name"":""LogWritingUsage"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""04df0e6"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""211","01a7dbe5043_2""} {""aggregationPeriod"":""Daily"",""deviceId"":""ef9f0ab7c57b07a7f81e74559db242091fc866d0"",""message"":{""Count"":3,""bug_type"":""211"",""reason"":""submitted""},""name"":""LogRetirement"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""0e23ba6f-96"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""225","01a7dbe5043_2""} {""aggregationPeriod"":""Daily"",""deviceId"":""ef9f0ab7c57b07a7f81e74559db242091fc866d0"",""message"":{""Count"":1,""bug_type"":""225"",""reason"":""rejected-config""},""name"":""LogRetirement"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""0e23b"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""313","01a7dbe5043_2""} {""aggregationPeriod"":""Daily"",""deviceId"":""ef9f0ab7c57b07a7f81e74559db242091fc866d0"",""message"":{""Count"":2,""bug_type"":""313"",""reason"":""rejected-config""},""name"":""LogRetirement"",""numDaysAggregated"":1,""sampling"":100.0,""uuid"":""0e23b"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""211","802a7461b02_2""} {""aggregationPeriod"":""Daily"",""deviceId"":""e91036cd873a13a53ae2e707fac76a9d4418bfe6"",""message"":{""Count"":3,""bug_type"":""211"",""proxied"":false,""reason"":""submitted""},""name"":""LogRetirementV2"",""numDaysAggregated"":1,""sampling"":100.0,"""
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""225","802a7461b02_2""} {""aggregationPeriod"":""Daily"",""deviceId"":""e91036cd873a13a53ae2e707fac76a9d4418bfe6"",""message"":{""Count"":1,""bug_type"":""225"",""proxied"":false,""reason"":""rejected-config""},""name"":""LogRetirementV2"",""numDaysAggregated"":1,""sampling"":1"
BUG_TYPE,Analytics-2025-06-02-072604.ips.ca.synced,,"""bug_type"":""313","802a7461b02_2""} {""aggregationPeriod"":""Daily"",""deviceId"":""e91036cd873a13a53ae2e707fac76a9d4418bfe6"",""message"":{""Count"":2,""bug_type"":""313"",""proxied"":false,""reason"":""rejected-config""},""name"":""LogRetirementV2"",""numDaysAggregated"":1,""sampling"":1"
BUG_TYPE,SiriSearchFeedback-2025-06-02-125059.ips,,"""bug_type"":""313","{""bug_type"":""313"",""timestamp"":""2025-06-02 12:50:59.00 +0700"",""os_version"":""iPhone OS 18.4.1 (22E252)"",""roots_installed"":0"
BUG_TYPE,xp_amp_app_usage_dnu-2025-06-02-123949.ips,,"""bug_type"":""225","{""bug_type"":""225"",""timestamp"":""2025-06-02 12:39:49.00 +0700"",""os_version"":""iPhone OS 18.4.1 (22E252)"",""roots_installed"":0"
